pickup_zone,dropoff_zone,trip_count,total_revenue,avg_fare,avg_distance_miles
237,236,214375,3271738.35000002,15.261753236151698,2.2096202915451904
236,237,182675,2837372.230000019,15.532351060626901,1.9782596414397153
237,237,152758,2058481.0600000012,13.475438667696626,0.6396093166969982
236,236,141315,1818681.2100000004,12.869696847468425,0.5862292750238839
161,237,104522,1851791.249999993,17.716760586287986,1.0496772928187363
237,161,96774,1683135.8999999953,17.39243908487812,2.393201996403993
161,236,85579,1915961.1599999985,22.388216268009657,3.183196812302085
132,132,80294,2796478.069999999,34.82798303733777,1.2976866266470786
237,162,77366,1265949.56,16.363125403924204,0.9668776982136863
142,239,75934,1108598.2799999968,14.599497985092274,0.9720143809097375
239,238,74551,994658.2799999943,13.34198441335454,0.8336317420289472
236,161,74442,1629147.2599999998,21.884786276564302,4.141389135165631
239,142,73888,1032349.7299999946,13.971818563230762,2.081484950194889
186,230,71428,1371227.4300000009,19.197337598700802,2.046982275858207
132,265,70385,7938531.68,112.78726546849471,21.329096966683238
